frame,prevBoxID,currBoxID,nLidarPrev,nLidarCurr,TTC_lidar
1,5,5,326,338,12.5156
2,5,3,338,305,12.6142
3,3,5,305,321,14.091
4,5,6,321,319,16.6894
5,6,5,319,340,15.9082
6,5,6,340,345,12.6787
7,6,4,345,315,11.9844
8,4,5,315,307,13.1241
9,5,4,307,302,13.0241
10,4,4,302,278,11.1746
11,4,4,278,300,12.8086
12,4,4,300,300,8.95978
13,4,1,300,314,9.96439
14,1,1,314,305,9.59863
15,1,1,305,286,8.57352
16,1,1,286,288,9.51617
17,1,1,288,273,9.54658
18,1,1,273,295,8.3988
